Controls,image,url,icon,stix_type,protocol,group,typeql,class,form,form_group,form_family,condition1,field1,value1,condition2,field2,value2,head,prior_string0,post_field0,prior_string1,post_field1,prior_string2,post_field2,prior_string3,post_field3,prior_string4,post_field4,prior_string5,post_field5,prior_string6,post_field6
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-malware-ext.svg,malware-ext,malware,mbc,sdo,malware,Malware,malware,sdo-forms,stix-forms,EXISTS,extensions.extension-definition--8e9e338f-c9ee-4d4f-8cac-85b4dcfdf3c1,,,,,Extended Malware,MBC ID -> ,extensions.extension-definition--8e9e338f-c9ee-4d4f-8cac-85b4dcfdf3c.obj_defn.external_id,Name -> ,name,Description ->,description,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-malware.svg,malware,malware,stix21,sdo,malware,Malware,malware,sdo-forms,mbc-forms,,,,,,,Malware,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-malware-family.svg,malware-family,malware,stix21,sdo,malware,Malware,malware,sdo-forms,stix-forms,EQUALS,is_family,TRUE,,,,Malware-Family,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-malware-analysis.svg,malware-analysis,malware-analysis,stix21,sdo,malware-analysis,MalwareAnalysis,malware-analysis,sdo-forms,stix-forms,,,,,,,Malware-Analysis,Engine ->,product,Result -> ,result,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-mbc-malware-behavior.svg,mbc-malware-behavior,malware-behavior,mbc,sdo,malware-behavior,MalwareBehaviour,malware-behavior,sdo-forms,stix-forms,,,,,,,MBC-Malware-Behaviour,MBC ID -> ,obj_defn.external_id,Name -> ,name,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-mbc-malware-method.svg,mbc-malware-method,malware-method,mbc,sdo,malware-method,MalwareMethod,malware-method,sdo-forms,mbc-forms,,,,,,,MBC-Malware-Method,MBC ID -> ,obj_defn.external_id,Name -> ,name,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-mbc-malware-objective.svg,mbc-malware-objective,malware-objective,mbc,sdo,malware-objective,MalwareObjective,malware-objective,sdo-forms,mbc-forms,,,,,,,MBC-Malware-Objective,MBC ID ->,obj_defn.external_id,Name -> ,name,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-atlas-matrix.svg,atlas-matrix,x-mitre-matrix,atlas,sdo,matrix,Matrix,atlas-matrix,sdo-forms,mbc-forms,EQUALS,external_references.[0].source_name,mitre-atlas,,,,Atlas-Matrix,Name -> ,name,Atlas ID -> ,external_references.[0].external_id,Description ->,description,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-attack-matrix.svg,attack-matrix,x-mitre-matrix,attack,sdo,matrix,Matrix,attack-matrix,sdo-forms,attack-forms,,,,,,,Attack-Matrix,Name -> ,name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-atlas-mitigation.svg,atlas-mitigation,course-of-action,atlas,sdo,mitigation,Mitigation,atlas-mitigation,sdo-forms,attack-forms,EQUALS,external_references.[0].source_name,mitre-atlas,,,,Atlas-Mitigation,Name -> ,name,Atlas ID -> ,external_references.[0].external_id,Description ->,description,,,,,,,,
